resort_id,point_longitude,point_latitude,point_municipality_bfs_id,point_municipality_name,point_municipality_canton,boundary_reference_year,selection_status,current_polygon_candidates,relationship_type,assignment_method,assignment_confidence,tourism_exposure_interpretation,bfs_hotel_universe,bfs_hotel_municipality_name,hotel_panel_name_present,source_id,query_source_id,source_sha256
avers,9.539695,46.445427,3681,Avers,GR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_5b8792716c33,a902d25b3cea2dddb0cbb78046862f0665356ce7bbf4f5f45f49706aeb60fa9d
avoriaz_1800_portes_du_soleil,6.778607,46.178671,,,,,outside_swiss_current_municipality_layer,0,coordinate_container_only,geo.admin.ch point identify,unresolved,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_9771a5709f19,6cecb20c79fa62eb775e45270a3cb9f2ca33c6a540c960ca88bb7a1d3700dcb5
axalp_brienz,8.042511,46.712855,573,Brienz (BE),BE,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Brienz (BE),True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_c8eedc463b01,e6f771fbfc9f99ff6c908e3fe55beb94a4cbf71ff21c507b2a1bce2655111132
balmberg,7.539282,47.261175,2541,Balm bei Günsberg,SO,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_0b3984b933ae,e0895ee40c156dc8bfcd35c5ac92354c41f695b6f38f3812c444dc94880dcdef
beatenberg_niederhorn,7.772655,46.703379,571,Beatenberg,BE,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Beatenberg,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_5a4071d489d0,9a7d1a32c1ab035235da6b79e878712024802be2ac81f6033eee43b919cce65c
bedea_novaggio,8.862062,46.009597,5395,Lema,TI,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_0bf38a1e1c3b,24f5ad7df71d547c3ec0b36b3ad91970122531d65e2a1ea3125cc27a75e07120
bedrina_dalpe,8.775826,46.471723,5071,Dalpe,TI,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_deb870980231,a41418385d0dfb7a607efb8fdd26cc2b7f342b804a9d67efab9e981b53f4f501
belalp,7.977705,46.379149,6007,Naters,VS,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_5009e72be1ae,6f5d81fef8097c7b4c8c7e2450637b57a8694c60a01fd45ddb70263063033d59
bellwald,8.16679,46.441347,6052,Bellwald,VS,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_93efdfee95ce,01de1cd7695d3f8cbf160f2b62f59ab8b76e5a4913ae9ef43b0468371384f7a5
bennau_einsiedeln,8.731658,47.143675,1301,Einsiedeln,SZ,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Einsiedeln,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_05e779cc13a8,b75f622d9cc0a92903ef67e23e216528aa2d84938281d65c08fb9b255236f520
bergun_filisur_bergun_filisur_darlux,9.771051,46.623299,3544,Bergün Filisur,GR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_88bd8ee99c20,96a8209e2a9caf671de50b8867eb7315c24a6f20b8fca401aab7c7de6b8f47aa
biel_kinzig,8.710227,46.901693,1205,Bürglen (UR),UR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_d3f31b20dad2,632f7b3e6452682eebd6b44b9758360dea8528540f175aa3bee0561beff61684
bildhaus_am_ricken,9.034485,47.24931,3341,Gommiswald,SG,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_85910ef9aa7e,2714ad8de46401ff262a925ccebcaa35a8a2040741a806bd4b25ab6de984a080
bivio,9.650717,46.46902,3543,Surses,GR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Surses,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_94d3a2c6b821,65fdb440e1b32249a8a41b248cc7ee5aff709ab9c97dffee6079dcbb36e6f511
bosco_gurin,8.467541,46.316644,5304,Bosco/Gurin,TI,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_ad2a1792ba87,6ae03e5821d80f972728a1bc8c2d94f5e2ae9ad76e80997931f81cb7f0695cfd
brambruesch_chur_brambruesch,9.516478,46.82937,3911,Churwalden,GR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_37598883699a,e41718d64c05d139e1bdc3a19094020f0a7f76634be89063d007d974ed518f7c
braunwald,8.990593,46.951258,1631,Glarus Süd,GL,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Glarus Süd,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_aa265d6e190a,037ff78fff4dd45a1b8302901a7c831f1ffbd196119ca4b2a3a0651365edb123
brigels_waltensburg_andiast,9.075394,46.795006,3981,Breil/Brigels,GR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Breil/Brigels,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_1ae78c48f0c9,27f7bbc720f214b5c55d05ab60c5c346e4286b031fc8a6950d517542d6093a61
brot_plamboz,6.742194,46.971794,6433,Brot-Plamboz,NE,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_c599f3b6cd95,9b3d49d464136bf24542b2a6c5c22aab5537633d00158e355254c904d4a75334
brulisau_brulisau_leugangen,9.454561,47.296306,3112,Schwende-Rüte,AI,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_8d01ef7e8f8b,d6d3d48473ec6292ed4533e93085b2ad232b4427ec5c08978610de98ede96f0e
brunni_brunni_bahnen_engelberg,8.409519,46.831895,1402,Engelberg,OW,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Engelberg,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_7b5ed17ef463,f12fc2b17268b57105bb30527f47cfabc37ff97ccaf8e310f5e4be6d2aa54c58
brunni_haggenegg,8.705914,47.041001,1361,Alpthal,SZ,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_dc94d888df52,431d5e57eab0ff62df02833cc153805fbf208ae6738a5601cf90b0947263334c
brunni_skilift_brunni,8.699369,47.031408,1361,Alpthal,SZ,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_2c161a60b980,431d5e57eab0ff62df02833cc153805fbf208ae6738a5601cf90b0947263334c
bruson_verbier,7.199478,46.059832,6037,Val de Bagnes,VS,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Val de Bagnes,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_ff83f29dd57f,8e28f31d9c2e7319da355740dd006c1f692965443901ab7ff7a45444cdf74436
buchserberg_skilift_buchserberg_malbun,9.430776,47.146309,3271,Buchs (SG),SG,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Buchs (SG),True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_539c9e91aa23,3d68647bae570b51b8a4d39751aec9df72651ab8d50770d65b6889a3d2d1feb7
bugls_s_chanf,9.997939,46.613038,3788,S-chanf,GR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_2bd7913eb283,9ee7807071e37a0875d58e82b5c84e17e23add82eb3364d88d824087315e9266
bulle_la_chia,7.055197,46.618141,2125,Bulle,FR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Bulle,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_f33241203388,5f1e366b8152767241fdfc7d9a71be32e6fc51b7cdf634f7fed2ae213d0b2e60
bumbach_schangnau,7.887497,46.806787,906,Schangnau,BE,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Schangnau,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_781acd296fbb,b5d889c7254b8ca77d601127d9e84f6750d27f959c7838832305e409b60f0140
campo_blenio_ghirone,8.936605,46.556234,5049,Blenio,TI,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_a013fec007d0,022b473730a39dae866cad892fa9226db411ea7ef17f79ba7d017d706d33aa90
cardada_cimetta_locarno,8.788161,46.196795,5324,Avegno Gordevio,TI,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_e8b35455a904,9a2797372829d09baaaa3f362f41fd471c7e4132875a2a13d467fc543526a131
cari,8.818052,46.503709,5072,Faido,TI,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_9b0d94643185,c5b264de89634667123b16100227095fd783011c64fd5b72c843445a3a2aaad6
champery_les_crosets_champoussin_morgins_portes_du_soleil,6.849031,46.206567,6157,Val-d'Illiez,VS,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_733ecab3af60,71756fa28c88466f02f001081283e781e04cfe06f1b74084e26430da71597041
champex_lac,7.104979,46.027661,6034,Orsières,VS,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Orsières,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_0f684ff70359,052ae0e3e33a6f0e8d458e610f43eece62cae7bbcee84618f3a8df3d5abaaee2
chapeau_rable_la_chaux_de_fonds,6.803112,47.099517,6421,La Chaux-de-Fonds,NE,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,La Chaux-de-Fonds,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_944ff84db238,f4254d29e99aa375a668b1447d867a106156738ecb503c58752dc31b14b934fb
chapelle_abondance_la_chapelle_d_abondance_portes_du_soleil,6.776779,46.284582,,,,,outside_swiss_current_municipality_layer,0,coordinate_container_only,geo.admin.ch point identify,unresolved,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_c5bf631c341f,6cecb20c79fa62eb775e45270a3cb9f2ca33c6a540c960ca88bb7a1d3700dcb5
charmey,7.206259,46.626158,2163,Val-de-Charmey,FR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_c86bcb8d15ce,e213c268ae872c905c0d1b5a8f7179407a15c5d4020aa9aef8459b67f162546a
chatel_portes_du_soleil,6.858344,46.267685,,,,,outside_swiss_current_municipality_layer,0,coordinate_container_only,geo.admin.ch point identify,unresolved,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_76409f9c3da1,6cecb20c79fa62eb775e45270a3cb9f2ca33c6a540c960ca88bb7a1d3700dcb5
chuderhusi,7.7209,46.874583,904,Röthenbach im Emmental,BE,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_93cc064eae7c,7d60e03dfaaef4da1d37907f0f86ab22ac4ef26a8b27343328a3af9109dfe57c
cioss_prato_bedretto,8.484889,46.491341,5063,Bedretto,TI,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_2a1372d3aeb4,260185beb89ef392c48d6d6af8f7eb127c7208624757ac954034bd1f59dddd72
corvatsch_furtschellas,9.823236,46.432119,3790,Silvaplana,GR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_810d350d7116,f8994b325e575515eeae1f999070f3aff26e36bd89c9a9944a84883bf73640b5
corviglia_st_moritz,9.818344,46.513102,3782,Celerina/Schlarigna,GR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Celerina/Schlarigna,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_ab1284fa6eb2,786b960d75f44c569327c18233c99d855462bf42a40d498ebff20192ff642edf
cote_aux_fees_la_cote_aux_fees,6.499678,46.865496,6504,La Côte-aux-Fées,NE,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_2a9b2d59fe92,fab57b3e9d3a04543db09cf2bcd8c285ce6bbc67402491f95afd840ff14c25db
crans_montana_crans_montana,7.479029,46.336084,6253,Crans-Montana,VS,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Crans-Montana,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_9ac7d1db1e69,fb0372f878e7a95dd35515fd8639759508fac017fa1a27261ff1c091e17f02a5
cret_meuron,6.859999,47.067509,6487,Val-de-Ruz,NE,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_daeb67f4e97a,6c32eaf2d5e40dc693850543a7964028010c229b7209673f1b15ced742871475
dallenwil_wirzweli,8.363085,46.914393,1503,Dallenwil,NW,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_94f60322373e,c3dd816c05558e3aa676f41abc149e1d2b07d6c50da81e84d084040db67e57f0
degersheim,9.197,47.368843,3401,Degersheim,SG,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_be4526efecd0,8cf2e6bc8208c07dc8bbeecb395469d80b389c6bb3e08c4c67d2c2a241b41d08
diavolezza_lagalb,9.966389,46.413612,3784,Pontresina,GR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Pontresina,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_c29dbe81704d,bd04f25ec1c23e6b35cfa1d9109fb84a657f0eee704d954c8c1aaf061b7c6cfb
dicki_weisslingen,8.760052,47.434103,180,Weisslingen,ZH,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_72eef9212c30,aaa2415e2e4e9022c272c3e419dcf524ba8d5ed6825ef6d00149776e39cc7bb2
disentis,8.814468,46.704321,3982,Disentis/Mustér,GR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_11829cea0b19,55ab637d518257f83551e228fc0c0c72acab90b9f4b3ef9e652198bcd31ac144
ebenalp_horn,9.413481,47.284877,3112,Schwende-Rüte,AI,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_f0c37cb9adef,d6d3d48473ec6292ed4533e93085b2ad232b4427ec5c08978610de98ede96f0e
egg_hallau,8.438873,47.699047,2971,Hallau,SH,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_1043a24d086d,ae931e98f8d2514615a43a4a4d74273a512eff5dc80a9fab9fb00d8a5aab0262
eggiwil,7.77479,46.891772,901,Eggiwil,BE,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_19f197f6eb61,d9b638dc62031c0ced6d2f5fa20b9f45d63feb750de62147c1983ffb03175138
eischoll_sportbahnen_eischoll,7.767677,46.277,6194,Eischoll,VS,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_c7e9f1722ed7,55bbd72edb2e10090460c82cc95f28317ec5d200f850a805390a71c999c0d8a4
elm,9.15689,46.920329,1631,Glarus Süd,GL,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Glarus Süd,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_0e895d2158b3,dad54e40d5ce9612bcbcc119d686e1988ae919b49e7144fd741a904782b1ae7e
elsigenalp_metschalp_frutigen,7.623138,46.522139,563,Frutigen,BE,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_78b0b228d6f2,822238659bbc76db37f271d8ddbcdda2024988cb537205d86568ce6b34caf58b
engelberg_titlis,8.410892,46.787191,1511,Wolfenschiessen,NW,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_e105fe9c6a91,2ce1b3f768fd620e1ccac89f0a9226ac46ab014da39fc20bc73c1a0af9395fe2
engstligenalp_adelboden,7.570224,46.437739,561,Adelboden,BE,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Adelboden,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_8f4d4e6942e9,bcb3e1fa9c194d7b29f98e1f996f7e6c2fa070d4e9fd0d73c43ee2004773c5e1
eriz,7.825141,46.781343,932,Horrenbach-Buchen,BE,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_9232351acfdc,5ba822ec8e1c5c797ea1b43ac118cb3667d150f4edba0b703231ca7605909f49
evolene,7.465553,46.121738,6083,Evolène,VS,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Evolène,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_e64c0fd83f0f,8eef54923e721c56d51a9f5af63207563c1229c8cd182c86b13ed4bac04865d6
faltschen_reichenbach_im_kandertal,7.719454,46.630739,567,Reichenbach im Kandertal,BE,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,True,Reichenbach im Kandertal,True,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_576b343c9ee6,b56eda10bd4c29b863074a04602136bfa84d27a353b0e1797356802641bf0552
feldis,9.441891,46.79386,3673,Domleschg,GR,2026,unique_current_polygon,1,coordinate_container_only,geo.admin.ch point identify,high_for_coordinate_container_only,not_established,False,,False,GEOADMIN_MUNICIPALITY_IDENTIFY,GEO_POINT_be0a253bd142,bd20e36ec27db0015ea3788f4b067dce5618b0867767147abb39a11ca96492c5
