station_abbr,month_date,daily_rows_present,temperature_mean_observed_days,temperature_min_observed_days,temperature_max_observed_days,precipitation_observed_days,invalid_negative_precipitation_days,air_temperature_mean_c,air_temperature_daily_min_mean_c,air_temperature_daily_max_mean_c,freezing_days,precipitation_total_mm,precipitation_days_ge_1mm,calendar_days,temperature_mean_coverage_share,temperature_min_coverage_share,temperature_max_coverage_share,precipitation_coverage_share,freezing_day_share_observed,precipitation_day_ge_1mm_share_observed,month_weather_proxy_usable,calendar_month,climatology_years,air_temperature_2013_2025_normal_c,precipitation_2013_2025_normal_mm,air_temperature_anomaly_c,precipitation_anomaly_mm,precipitation_ratio_to_2013_2025_normal,weather_source_id,precipitation_observation_window,weather_station_name,weather_station_elevation_m,weather_station_latitude,weather_station_longitude
ABO,2013-12-01,31,31,31,31,31,0,1.164516129032258,-2.370967741935484,5.161290322580645,23,45.4,4,31,1.0,1.0,1.0,1.0,0.7419354838709677,0.12903225806451613,True,12,13,1.4205955334987594,103.36923076923077,-0.25607940446650135,-57.96923076923077,0.43920226224140496,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2014-01-01,31,31,31,31,31,0,0.46774193548387094,-3.0870967741935487,4.270967741935484,25,72.9,12,31,1.0,1.0,1.0,1.0,0.8064516129032258,0.3870967741935484,True,1,13,-0.5900744416873449,99.11538461538461,1.057816377171216,-26.215384615384608,0.7355064027939465,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2014-02-01,28,28,28,28,28,0,0.27499999999999997,-3.085714285714286,4.582142857142857,28,86.80000000000001,15,28,1.0,1.0,1.0,1.0,1.0,0.5357142857142857,True,2,13,0.35730390299355813,65.65384615384616,-0.08230390299355816,21.14615384615385,1.3220855301698888,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2014-03-01,31,31,31,31,31,0,3.103225806451613,-0.8967741935483872,7.858064516129032,15,38.8,6,31,1.0,1.0,1.0,1.0,0.4838709677419355,0.1935483870967742,True,3,13,2.757320099255583,79.56153846153846,0.3459057071960303,-40.761538461538464,0.4876728221985884,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2014-04-01,30,30,30,30,30,0,6.3,2.106666666666667,10.95,9,123.2,12,30,1.0,1.0,1.0,1.0,0.3,0.4,True,4,13,5.894615384615384,84.09230769230768,0.4053846153846159,39.10769230769232,1.4650567142334432,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2014-05-01,31,31,31,31,31,0,7.861290322580645,3.4419354838709677,12.203225806451613,6,142.09999999999997,16,31,1.0,1.0,1.0,1.0,0.1935483870967742,0.5161290322580645,True,5,13,8.869727047146402,150.30769230769232,-1.0084367245657564,-8.207692307692355,0.9453940634595698,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2014-06-01,30,30,30,30,30,0,13.226666666666667,8.610000000000001,18.173333333333336,0,83.7,16,30,1.0,1.0,1.0,1.0,0.0,0.5333333333333333,True,6,13,14.091025641025642,129.7,-0.864358974358975,-45.999999999999986,0.6453353893600617,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2014-07-01,31,31,31,31,31,0,13.370967741935484,9.658064516129032,17.42258064516129,0,260.50000000000006,19,31,1.0,1.0,1.0,1.0,0.0,0.6129032258064516,True,7,13,15.654342431761787,163.97692307692307,-2.283374689826303,96.52307692307699,1.5886381761035797,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2014-08-01,31,31,31,31,31,0,12.100000000000001,8.293548387096775,16.848387096774193,0,157.50000000000003,20,31,1.0,1.0,1.0,1.0,0.0,0.6451612903225806,True,8,13,15.133746898263029,137.8,-3.0337468982630273,19.700000000000017,1.1429608127721336,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2014-09-01,30,30,30,30,30,0,11.483333333333333,7.613333333333333,16.12,0,62.2,9,30,1.0,1.0,1.0,1.0,0.0,0.3,True,9,13,11.504102564102565,99.9923076923077,-0.02076923076923265,-37.7923076923077,0.6220478498346026,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2014-10-01,31,31,31,31,31,0,9.619354838709677,5.458064516129032,14.441935483870967,3,87.1,10,31,1.0,1.0,1.0,1.0,0.0967741935483871,0.3225806451612903,True,10,13,8.503225806451614,87.63076923076923,1.1161290322580637,-0.5307692307692378,0.993943117977528,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2014-11-01,30,30,30,30,30,0,5.9399999999999995,2.61,10.1,8,78.2,6,30,1.0,1.0,1.0,1.0,0.26666666666666666,0.2,True,11,13,3.291794871794872,90.35384615384615,2.6482051282051273,-12.153846153846146,0.8654861229354675,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2014-12-01,31,31,31,31,31,0,0.4258064516129032,-3.193548387096774,3.7580645161290325,26,58.5,10,31,1.0,1.0,1.0,1.0,0.8387096774193549,0.3225806451612903,True,12,13,1.4205955334987594,103.36923076923077,-0.9947890818858562,-44.86923076923077,0.5659324304211937,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2015-01-01,31,31,31,31,31,0,-0.5129032258064515,-4.393548387096774,3.5580645161290323,28,107.10000000000001,14,31,1.0,1.0,1.0,1.0,0.9032258064516129,0.45161290322580644,True,1,13,-0.5900744416873449,99.11538461538461,0.07717121588089337,7.984615384615395,1.080558789289872,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2015-02-01,28,28,28,28,28,0,-2.817857142857143,-6.221428571428571,1.2,28,36.1,6,28,1.0,1.0,1.0,1.0,1.0,0.21428571428571427,True,2,13,0.35730390299355813,65.65384615384616,-3.175161045850701,-29.55384615384616,0.5498535442296426,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2015-03-01,31,31,31,31,31,0,2.6258064516129034,-1.4161290322580644,7.048387096774194,19,139.79999999999998,10,31,1.0,1.0,1.0,1.0,0.6129032258064516,0.3225806451612903,True,3,13,2.757320099255583,79.56153846153846,-0.13151364764267948,60.23846153846152,1.757130426375326,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2015-04-01,30,30,30,30,30,0,5.903333333333333,1.2066666666666668,10.916666666666666,11,80.49999999999999,10,30,1.0,1.0,1.0,1.0,0.36666666666666664,0.3333333333333333,True,4,13,5.894615384615384,84.09230769230768,0.008717948717949398,-3.592307692307699,0.9572813757775338,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2015-05-01,31,31,31,31,31,0,9.59032258064516,4.95483870967742,14.187096774193549,3,250.9,15,31,1.0,1.0,1.0,1.0,0.0967741935483871,0.4838709677419355,True,5,13,8.869727047146402,150.30769230769232,0.7205955334987593,100.59230769230768,1.6692425793244625,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2015-06-01,30,30,30,30,30,0,13.926666666666668,9.323333333333332,18.886666666666667,0,138.7,13,30,1.0,1.0,1.0,1.0,0.0,0.43333333333333335,True,6,13,14.091025641025642,129.7,-0.16435897435897395,9.0,1.0693909020817272,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2015-07-01,31,31,31,31,31,0,17.864516129032257,12.62258064516129,23.151612903225807,0,127.7,9,31,1.0,1.0,1.0,1.0,0.0,0.2903225806451613,True,7,13,15.654342431761787,163.97692307692307,2.21017369727047,-36.27692307692307,0.7787681193413708,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2015-08-01,31,31,31,31,31,0,15.5,11.429032258064517,20.17096774193548,0,120.70000000000002,11,31,1.0,1.0,1.0,1.0,0.0,0.3548387096774194,True,8,13,15.133746898263029,137.8,0.36625310173697123,-17.099999999999994,0.8759071117561684,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2015-09-01,30,30,30,30,30,0,9.203333333333335,5.506666666666666,13.836666666666668,0,93.0,10,30,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,True,9,13,11.504102564102565,99.9923076923077,-2.3007692307692302,-6.992307692307705,0.9300715439649203,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2015-10-01,31,31,31,31,31,0,6.199999999999999,2.829032258064516,10.425806451612903,8,67.89999999999999,9,31,1.0,1.0,1.0,1.0,0.25806451612903225,0.2903225806451613,True,10,13,8.503225806451614,87.63076923076923,-2.3032258064516142,-19.73076923076924,0.7748419943820224,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2015-11-01,30,30,30,30,30,0,5.4,1.32,9.76,9,107.0,10,30,1.0,1.0,1.0,1.0,0.3,0.3333333333333333,True,11,13,3.291794871794872,90.35384615384615,2.108205128205128,16.64615384615385,1.1842329303592714,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2015-12-01,31,31,31,31,31,0,4.203225806451614,1.0612903225806452,8.09032258064516,8,9.6,4,31,1.0,1.0,1.0,1.0,0.25806451612903225,0.12903225806451613,True,12,13,1.4205955334987594,103.36923076923077,2.7826302729528543,-93.76923076923077,0.09287096294091382,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2016-01-01,31,31,31,31,31,0,0.36129032258064514,-2.9838709677419355,3.925806451612903,24,137.20000000000002,17,31,1.0,1.0,1.0,1.0,0.7741935483870968,0.5483870967741935,True,1,13,-0.5900744416873449,99.11538461538461,0.9513647642679901,38.084615384615404,1.384245246410555,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2016-02-01,29,29,29,29,29,0,0.6379310344827587,-3.3379310344827586,4.606896551724137,23,117.70000000000002,18,29,1.0,1.0,1.0,1.0,0.7931034482758621,0.6206896551724138,True,2,13,0.35730390299355813,65.65384615384616,0.28062713148920054,52.04615384615386,1.7927357937902755,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2016-03-01,31,31,31,31,31,0,0.8935483870967742,-3.116129032258064,5.467741935483871,28,38.4,9,31,1.0,1.0,1.0,1.0,0.9032258064516129,0.2903225806451613,True,3,13,2.757320099255583,79.56153846153846,-1.8637717121588087,-41.16153846153846,0.48264526733056173,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2016-04-01,30,30,30,30,30,0,5.066666666666666,0.83,9.729999999999999,14,121.19999999999999,13,30,1.0,1.0,1.0,1.0,0.4666666666666667,0.43333333333333335,True,4,13,5.894615384615384,84.09230769230768,-0.8279487179487175,37.107692307692304,1.4412733260153676,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2016-05-01,31,31,31,31,31,0,8.1,3.806451612903226,12.774193548387096,5,180.49999999999997,13,31,1.0,1.0,1.0,1.0,0.16129032258064516,0.41935483870967744,True,5,13,8.869727047146402,150.30769230769232,-0.7697270471464019,30.19230769230765,1.2008700102354142,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2016-06-01,30,30,30,30,30,0,12.026666666666667,8.043333333333333,16.653333333333332,0,153.2,19,30,1.0,1.0,1.0,1.0,0.0,0.6333333333333333,True,6,13,14.091025641025642,129.7,-2.0643589743589743,23.5,1.1811873554356207,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2016-07-01,31,31,31,31,31,0,15.058064516129033,10.30967741935484,20.019354838709678,0,188.39999999999995,15,31,1.0,1.0,1.0,1.0,0.0,0.4838709677419355,True,7,13,15.654342431761787,163.97692307692307,-0.5962779156327542,24.423076923076877,1.1489421588403619,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2016-08-01,31,31,31,31,31,0,14.912903225806453,10.529032258064515,19.870967741935484,0,101.10000000000001,9,31,1.0,1.0,1.0,1.0,0.0,0.2903225806451613,True,8,13,15.133746898263029,137.8,-0.2208436724565761,-36.7,0.7336719883889695,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2016-09-01,30,30,30,30,30,0,12.67,8.95,17.21333333333333,0,91.7,8,30,1.0,1.0,1.0,1.0,0.0,0.26666666666666666,True,9,13,11.504102564102565,99.9923076923077,1.1658974358974348,-8.292307692307702,0.9170705438879913,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2016-10-01,31,31,31,31,31,0,5.82258064516129,2.5548387096774197,10.40967741935484,7,71.2,8,31,1.0,1.0,1.0,1.0,0.22580645161290322,0.25806451612903225,True,10,13,8.503225806451614,87.63076923076923,-2.6806451612903235,-16.43076923076923,0.8125,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2016-11-01,30,30,30,30,30,0,3.3333333333333335,-0.45,6.986666666666666,16,79.7,10,30,1.0,1.0,1.0,1.0,0.5333333333333333,0.3333333333333333,True,11,13,3.291794871794872,90.35384615384615,0.0415384615384613,-10.653846153846146,0.8820875191554572,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2016-12-01,31,31,31,31,31,0,2.603225806451613,-0.7129032258064517,7.509677419354839,23,0.7999999999999999,0,31,1.0,1.0,1.0,1.0,0.7419354838709677,0.0,True,12,13,1.4205955334987594,103.36923076923077,1.1826302729528537,-102.56923076923077,0.007739246911742818,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2017-01-01,31,31,31,31,31,0,-3.9225806451612906,-7.816129032258065,0.09032258064516126,30,63.9,12,31,1.0,1.0,1.0,1.0,0.967741935483871,0.3870967741935484,True,1,13,-0.5900744416873449,99.11538461538461,-3.3325062034739457,-35.215384615384615,0.6447031431897555,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2017-02-01,28,28,28,28,28,0,1.6535714285714285,-1.9821428571428572,6.0928571428571425,21,63.0,10,28,1.0,1.0,1.0,1.0,0.75,0.35714285714285715,True,2,13,0.35730390299355813,65.65384615384616,1.2962675255778704,-2.6538461538461604,0.9595782073813708,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2017-03-01,31,31,31,31,31,0,5.251612903225807,0.8387096774193549,10.23225806451613,10,94.1,10,31,1.0,1.0,1.0,1.0,0.3225806451612903,0.3225806451612903,True,3,13,2.757320099255583,79.56153846153846,2.494292803970224,14.538461538461533,1.1827322827032776,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2017-04-01,30,30,30,30,30,0,4.58,0.20333333333333334,9.416666666666666,12,89.69999999999999,14,30,1.0,1.0,1.0,1.0,0.4,0.4666666666666667,True,4,13,5.894615384615384,84.09230769230768,-1.3146153846153839,5.607692307692304,1.0666849615806806,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2017-05-01,31,31,31,31,31,0,9.964516129032257,5.232258064516128,15.245161290322581,4,137.0,15,31,1.0,1.0,1.0,1.0,0.12903225806451613,0.4838709677419355,True,5,13,8.869727047146402,150.30769230769232,1.094789081885855,-13.30769230769232,0.9114636642784032,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2017-06-01,30,30,30,30,30,0,15.346666666666666,10.506666666666666,20.383333333333333,0,136.2,15,30,1.0,1.0,1.0,1.0,0.0,0.5,True,6,13,14.091025641025642,129.7,1.2556410256410242,6.5,1.0501156515034695,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2017-07-01,31,31,31,31,31,0,15.22258064516129,10.838709677419354,20.125806451612902,0,190.6,15,31,1.0,1.0,1.0,1.0,0.0,0.4838709677419355,True,7,13,15.654342431761787,163.97692307692307,-0.4317617866004966,26.623076923076923,1.1623586808650372,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2017-08-01,31,31,31,31,31,0,15.625806451612902,11.19032258064516,20.73548387096774,0,181.4,12,31,1.0,1.0,1.0,1.0,0.0,0.3870967741935484,True,8,13,15.133746898263029,137.8,0.4920595533498737,43.599999999999994,1.316400580551524,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2017-09-01,30,30,30,30,30,0,9.096666666666666,5.1899999999999995,13.576666666666666,0,75.30000000000001,11,30,1.0,1.0,1.0,1.0,0.0,0.36666666666666664,True,9,13,11.504102564102565,99.9923076923077,-2.4074358974358994,-24.692307692307693,0.7530579275328871,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2017-10-01,31,31,31,31,31,0,8.493548387096775,4.319354838709677,13.503225806451614,5,75.69999999999999,9,31,1.0,1.0,1.0,1.0,0.16129032258064516,0.2903225806451613,True,10,13,8.503225806451614,87.63076923076923,-0.00967741935483879,-11.930769230769243,0.8638518258426965,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2017-11-01,30,30,30,30,30,0,1.2066666666666668,-2.0933333333333333,4.943333333333333,21,98.89999999999999,9,30,1.0,1.0,1.0,1.0,0.7,0.3,True,11,13,3.291794871794872,90.35384615384615,-2.085128205128205,8.546153846153842,1.0945853907713263,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2017-12-01,31,31,31,31,31,0,-1.532258064516129,-5.645161290322581,2.574193548387097,27,146.9,17,31,1.0,1.0,1.0,1.0,0.8709677419354839,0.5483870967741935,True,12,13,1.4205955334987594,103.36923076923077,-2.9528535980148884,43.53076923076924,1.4211192141687752,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2018-01-01,31,31,31,31,31,0,2.0870967741935487,-1.0838709677419356,5.887096774193548,22,285.9,12,31,1.0,1.0,1.0,1.0,0.7096774193548387,0.3870967741935484,True,1,13,-0.5900744416873449,99.11538461538461,2.6771712158808936,186.78461538461536,2.8845168800931313,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2018-02-01,28,28,28,28,28,0,-5.035714285714286,-8.610714285714286,-1.425,27,49.9,7,28,1.0,1.0,1.0,1.0,0.9642857142857143,0.25,True,2,13,0.35730390299355813,65.65384615384616,-5.393018188707844,-15.753846153846162,0.7600468658465143,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2018-03-01,31,31,31,31,31,0,0.8677419354838709,-2.729032258064516,5.212903225806452,25,74.4,18,31,1.0,1.0,1.0,1.0,0.8064516129032258,0.5806451612903226,True,3,13,2.757320099255583,79.56153846153846,-1.889578163771712,-5.161538461538456,0.9351252054529634,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
ABO,2018-04-01,30,30,30,30,30,0,9.023333333333333,3.3833333333333333,14.576666666666666,5,28.2,5,30,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,True,4,13,5.894615384615384,84.09230769230768,3.1287179487179495,-55.89230769230768,0.3353457738748628,METEOSWISS_SMN_DAILY_SELECTED,06:00_UTC_to_06:00_UTC_next_day,Adelboden,1321.0,46.491703,7.560703
