official_destination_id,official_destination_name,official_destination_path,official_regions,official_region_codes,official_coordinate_count,official_latitude_first,official_longitude_first,candidate_resort_id,entity_resolution_method,entity_resolution_status,current_member_snapshot,snapshot_retrieval_date,source_id,source_url,source_sha256
3608,Jura-sur-Léman (Transfrontalier),/fr/stations/jura-sur-leman-transfrontalier-3608,France|Vaud,France|VD,1,46.440663517413405,6.0837485196039225,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
2770,Kiental,/fr/stations/kiental-2770,Berne,BE,1,46.58556524,7.723541627,kiental,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
5500,Klewenalp-Stockhütte,/fr/stations/klewenalp-stockhutte-5500,Nidwald,NW,2,46.94042857279036,8.47302552244152,klewenalp_stockhutte,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
20,La Berra,/fr/stations/la-berra-20,Fribourg,FR,1,46.68705297,7.155148767,la_berra_la_roche,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
117,La Forclaz,/fr/stations/espace-dent-blanche-la-forclaz-117,Valais,VS,1,46.08709494,7.520904512,la_forclaz,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
2771,Lauchernalp,/fr/stations/lauchernalp-2771,Valais,VS,1,46.40252532,7.777876736,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
4448,Le Grand-Bornand,/fr/stations/le-grand-bornand-4448,France,France,1,45.9458549666648,6.4346945068189,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
22,Les Diablerets,/fr/stations/les-diablerets-22,Vaud,VD,1,46.34595928,7.155236958,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
3607,Les Habères,/fr/stations/les-haberes-3607,France,France,1,46.24530825,6.471494794,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
23,Les Marécottes,/fr/stations/les-marecottes-23,Valais,VS,1,46.11262456,7.007782286,les_marecottes,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
24,Les Mosses-La Lécherette,/fr/stations/les-mosses-la-lecherette-24,Vaud,VD,1,46.39993497,7.100153934,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
25,Les Paccots,/fr/stations/les-paccots-25,Fribourg,FR,1,46.52408792,6.946674293,les_paccots_chatel_saint_denis,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
89,Les Pléiades,/fr/stations/les-pleiades-89,Vaud,VD,1,46.48254548,6.909328421,les_pleiades,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
90,Les Rochers - de - Naye,/fr/stations/les-rochers--de--naye-90,Vaud,VD,1,46.43360363,6.979397427,rochers_de_naye_haut_de_caux_dent_de_jaman,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
602,Leukerbad,/fr/stations/leukerbad-torrent-gemmi-602,Valais,VS,1,46.378386,7.627450,leukerbad,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
26,Leysin,/fr/stations/leysin-26,Vaud,VD,1,46.34774413,7.017269842,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
4449,Linden,/fr/stations/linden-4449,Berne,BE,1,46.845081806557474,7.677741796914683,linden_skilift_linden,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
2773,Marbachegg,/fr/stations/marbachegg-2773,Lucerne,LU,1,46.85029293,7.895632598,marchbachegg_marbach_marbachegg,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
4450,Massif des Brasses,/fr/stations/massif-des-brasses-4450,France,France,1,46.175840,6.450285,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
27,Mayens de Conthey,/fr/stations/mayens-de-conthey-27,Valais,VS,1,46.25792288,7.282936389,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
4451,Meiringen-Hasliberg,/fr/stations/meiringen-hasliberg-4451,Berne,BE,1,46.74531143413938,8.195059199332423,meiringen_hasliberg,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
4452,Melchsee-Frutt,/fr/stations/melchsee-frutt-4452,Obwald,OW,1,46.80295789999998,8.279068201881879,melchsee_frutt,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
28,Moléson,/fr/stations/moleson-28,Fribourg,FR,1,46.54914261,7.01852318,moleson_la_gruyere,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
3609,Monts Jura,/fr/stations/monts-jura-3609,France,France,1,46.37099249,6.019054691,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
2774,Moosalp,/fr/stations/moosalp-2774,Valais,VS,1,46.27128285,7.827049896,moosalpregion,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
1794,Métabief,/fr/stations/metabief-1794,France,France,1,46.76886271,6.355845802,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
4453,Mörlialp Giswil,/fr/stations/morlialp-giswil-4453,Obwald,OW,1,46.825316,8.108540,morlialp,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
29,Nax - Mt-Noble,/fr/stations/nax--mt-noble-29,Valais,VS,1,46.22668782,7.462855898,mont_noble_nax,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
1796,Niederhorn,/fr/stations/niederhorn-1796,Berne,BE,1,46.69138817,7.765014816,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
2775,Ottenleue,/fr/stations/ottenleue-2775,Berne,BE,1,46.71342174,7.352966169,ottenleuebad,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
30,Ovronnaz,/fr/stations/ovronnaz-30,Valais,VS,1,46.20534674,7.160467623,ovronnaz,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
4454,Praz de Lys – Sommand,/fr/stations/praz-de-lys-sommand-4454,France,France,1,46.15947001432135,6.580260123683821,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
601,Prés-d'Orvin,/fr/stations/pres-d-orvin-601,Berne,BE,1,47.15053081,7.171285139,pres_d_orvin_les_pres_d_orvin,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
31,Rathvel,/fr/stations/rathvel-31,Fribourg,FR,1,46.54318435,6.979475798,rathvel,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
2776,Riffenmatt,/fr/stations/riffenmatt-2776,Berne,BE,1,46.76360966,7.353511499,riffenmatt,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
937,Robella Val-de-Travers,/fr/stations/robella-val-de-travers-937,Neuchâtel,NE,1,46.88682782,6.552051664,la_robella,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
1801,Rossberg,/fr/stations/rossberg-1801,Berne,BE,1,46.63781291,7.445258015,rossberg_oberwil,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
1803,Rosswald,/fr/stations/rosswald-1803,Valais,VS,1,46.31421652,8.025641201,rosswald,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
2777,Rüschegg,/fr/stations/ruschegg-2777,Berne,BE,1,46.7601739,7.42033292,ruschegg_eywald,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
5714,Saas-Almagell,/fr/stations/saas-almagell-5714,Valais,VS,1,46.09246551070663,7.957737561663128,saas_almagell,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
600,Saas-Fee,/fr/stations/saas-fee-600,Valais,VS,1,46.105734,7.927827,saas_fee,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
3611,Saint-Cergue,/fr/stations/saint-cergue-3611,Vaud,VD,1,46.445758,6.154970,st_cergue,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
3613,San Domenico,/fr/stations/san-domenico-3613,Italie,Italie,1,46.24988362,8.188426467,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
5568,Sattel-Hochstuckli,/fr/stations/sattel-hochstuckli-5568,Schwytz,SZ,1,47.078793216268664,8.634472145142489,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
3587,Schwanden,/fr/stations/schwanden-3587,Berne,BE,1,46.73293075,7.731344743,schwanden_sigriswil_thunersee,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
32,Schwarzsee,/fr/stations/schwarzsee-32,Fribourg,FR,1,46.67120709,7.289721952,schwarzsee_kaiseregg_bahnen,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
2778,Selital,/fr/stations/selital-2778,Berne,BE,1,46.74105304,7.391357726,schwarzenbuhl_selital,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
1360,Springenboden,/fr/stations/springenboden-1360,Berne,BE,1,46.61885759,7.575690509,springenboden_diemtigtal,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def
