variable,table,description,unit,data_type,geographic_level,temporal_level,source_id,raw_or_derived,formula,causal_role,missing_share,notes
causal_ready,destination_month_panel,Whether the destination-month row passes all causal evidence gates,boolean,boolean,reviewed destination,monthly,DERIVED_REVIEWED_DESTINATION_PANEL,derived,always false at this checkpoint,quality gate,0.000000,"Continuity, confounding, spillovers, and controls remain unresolved"
complete_capacity_scope,destination_month_panel,Whether supply is observed for every municipality in the reviewed scope,boolean,boolean,reviewed destination,monthly,DERIVED_REVIEWED_DESTINATION_PANEL,derived,"establishments, rooms, and beds observed for all scoped municipalities",capacity quality,0.000000,False rows retain missing capacity aggregates
complete_outcome_scope,destination_month_panel,Whether all municipalities in the reviewed scope have an observed hotel-night value,boolean,boolean,reviewed destination,monthly,DERIVED_REVIEWED_DESTINATION_PANEL,derived,observed municipality count equals expected municipality count,outcome quality,0.000000,False rows retain a missing aggregate
complete_snow_proxy,destination_month_panel,Whether every assigned SLF station-month passes the daily observation coverage gate,boolean,boolean,reviewed destination via station proxy,monthly,DERIVED_REVIEWED_DESTINATION_PANEL,derived,all assigned station months have >=80% valid daily HS coverage,snow data quality,0.000000,False for future/unavailable months
complete_weather_proxy,destination_month_panel,Whether every assigned SwissMetNet station-month passes the four-parameter coverage gate,boolean,boolean,reviewed destination via station proxy,monthly,DERIVED_REVIEWED_DESTINATION_PANEL,derived,all assigned station months have >=80% coverage for mean/min/max temperature and precipitation,weather data quality,0.000000,False for unavailable future months and five in-window destination-months
destination_snow_proxy_quality,destination_month_panel,Worst resort-to-station comparability class among destination components,category,string,reviewed destination via station proxy,snapshot,DERIVED_MULTI_SOURCE,derived,worst of high/moderate/low component links,snow data quality,0.000000,"Comparability class, not accuracy"
destination_weather_proxy_quality,destination_month_panel,Worst horizontal-distance comparability class among destination components,category,string,reviewed destination via station proxy,snapshot,DERIVED_MULTI_SOURCE,derived,worst of high/moderate/low component links,weather data quality,0.000000,"Comparability class, not accuracy"
event_time_months,destination_month_panel,Months relative to the first analytical membership anchor,months,integer,reviewed destination,monthly,DERIVED_REVIEWED_DESTINATION_PANEL,derived,calendar month difference from first_analysis_anchor,event-time index,0.000000,Not sufficient for causal event-study identification
hotel_bed_occupancy_rate_pct,destination_month_panel,Official bed occupancy rate for single-municipality destination units,percent,float,reviewed destination,monthly,BFS_HOTEL_CAPACITY_DATA,cleaned source,retained only when destination scope has exactly one municipality,descriptive capacity utilisation,0.207792,Not aggregated for Meiringen-Hasliberg
hotel_beds_available,destination_month_panel,Additive available beds across the reviewed municipality outcome scope,beds,float,reviewed destination,monthly,BFS_HOTEL_CAPACITY_DATA,derived,"sum(municipality beds * 1.0), missing unless every scoped municipality is observed",time-varying supply confounder,0.114177,No imputation
hotel_establishments_open,destination_month_panel,Additive open establishments across the reviewed municipality outcome scope,establishments,float,reviewed destination,monthly,BFS_HOTEL_CAPACITY_DATA,derived,"sum(municipality establishments * 1.0), missing unless every scoped municipality is observed",time-varying supply confounder,0.114177,No imputation
hotel_overnights,destination_month_panel,Additive hotel overnight stays across the reviewed municipality outcome scope,overnight stays,float,reviewed destination,monthly,DERIVED_REVIEWED_DESTINATION_PANEL,derived,"sum(municipality hotel_overnights * 1.0), missing unless every scoped municipality is observed",outcome,0.144481,No imputation
hotel_overnights_per_available_bed_month,destination_month_panel,Monthly live-table overnight stays per summed available bed,overnight stays per bed-month,float,reviewed destination,monthly,DERIVED_REVIEWED_DESTINATION_PANEL,derived,summed live-table overnight stays / summed beds when beds > 0,descriptive capacity-adjusted demand,0.120671,Not the official occupancy rate
hotel_rooms_available,destination_month_panel,Additive available rooms across the reviewed municipality outcome scope,rooms,float,reviewed destination,monthly,BFS_HOTEL_CAPACITY_DATA,derived,"sum(municipality rooms * 1.0), missing unless every scoped municipality is observed",time-varying supply confounder,0.114177,No imputation
precipitation_total_mm_mean_across_stations,destination_month_panel,Unweighted mean monthly precipitation total across unique assigned SwissMetNet stations,millimetres,float,reviewed destination via station proxy,monthly,METEOSWISS_SMN_DAILY_SELECTED,derived,mean station-month precipitation_total_mm only when every assigned station month passes the 80% gate,time-varying regional weather proxy,0.056277,Not summed across stations; 06:00-to-06:00 UTC daily window
snow_depth_mean_cm,destination_month_panel,Unweighted mean monthly snow depth across unique assigned SLF proxy stations,centimetres,float,reviewed destination via station proxy,monthly,SLF_IMIS_DAILY_SNOW,derived,mean station-month snow_depth_mean_cm only when every assigned station month has >=80% daily coverage,time-varying snow proxy,0.062229,Not direct slope snow; missing months are not imputed
weather_causal_covariate_approved,destination_month_panel,Whether the regional weather proxy has passed all causal-use validation gates,boolean,boolean,reviewed destination via station proxy,monthly,DERIVED_REVIEWED_DESTINATION_PANEL,derived,always false at this checkpoint,quality gate,0.000000,Station choice and gridded-data sensitivity remain pending
complete_capacity_supply,hotel_capacity_municipality_month,"Whether establishments, rooms, and beds are all observed",boolean,boolean,municipality,monthly,BFS_HOTEL_CAPACITY_DATA,derived,all three supply values are numeric source observations,capacity quality,0.000000,False rows remain missing; no imputation
hotel_bed_occupancy_rate_pct,hotel_capacity_municipality_month,Official bed occupancy rate,percent,Float64,municipality,monthly,BFS_HOTEL_CAPACITY_DATA,cleaned source,Official published value parsed without adjustment,descriptive capacity utilisation,0.065732,59 source values exceed 100 and remain unchanged
hotel_beds_available,hotel_capacity_municipality_month,Beds in open hotel and health establishments,beds,Int64,municipality,monthly,BFS_HOTEL_CAPACITY_DATA,cleaned source,Parsed only when the literal source token is a nonnegative integer,time-varying supply confounder,0.063172,No imputation
hotel_establishments_open,hotel_capacity_municipality_month,Open hotel and health establishments,establishments,Int64,municipality,monthly,BFS_HOTEL_CAPACITY_DATA,cleaned source,Parsed only when the literal source token is a nonnegative integer,time-varying supply confounder,0.063172,Source '..' and '...' tokens remain missing
hotel_room_occupancy_rate_pct,hotel_capacity_municipality_month,Official room occupancy rate,percent,Float64,municipality,monthly,BFS_HOTEL_CAPACITY_DATA,cleaned source,Official published value parsed without adjustment,descriptive capacity utilisation,0.065732,Not an outcome denominator for multi-municipality aggregation
hotel_rooms_available,hotel_capacity_municipality_month,Rooms in open hotel and health establishments,rooms,Int64,municipality,monthly,BFS_HOTEL_CAPACITY_DATA,cleaned source,Parsed only when the literal source token is a nonnegative integer,time-varying supply confounder,0.063172,No imputation
domestic_overnights,hotel_municipality_month,Overnight stays by Swiss residents,overnight stays,Int64,municipality,monthly,BFS_HOTEL_DATA,cleaned source,Parsed only when source token is a nonnegative integer,secondary outcome,0.089382,Suppressed values remain missing
foreign_overnights,hotel_municipality_month,Total minus domestic overnight stays,overnight stays,Int64,municipality,monthly,BFS_HOTEL_DATA,derived,hotel_overnights - domestic_overnights,secondary outcome,0.089382,Missing when either component is unavailable
hotel_arrivals,hotel_municipality_month,Hotel arrivals in open establishments,persons,Int64,municipality,monthly,BFS_HOTEL_DATA,cleaned source,Parsed only when source token is a nonnegative integer,secondary outcome,0.089382,Suppressed values remain missing
hotel_overnights,hotel_municipality_month,Hotel overnight stays in open establishments,overnight stays,Int64,municipality,monthly,BFS_HOTEL_DATA,cleaned source,Parsed only when source token is a nonnegative integer,outcome,0.089382,Suppressed '...' values remain missing
log_overnights,hotel_municipality_month,Log-transformed hotel overnight stays,log points,float,municipality,monthly,BFS_HOTEL_DATA,derived,log(1 + hotel_overnights),outcome,0.089382,No imputation
hotel_overnights_per_available_bed_month,hotel_municipality_month_enriched,Monthly overnight stays per contemporaneous available bed,overnight stays per bed-month,float,municipality,monthly,BFS_HOTEL_CAPACITY_DATA,derived,live-table hotel_overnights_capacity_table / hotel_beds_available when beds > 0,descriptive capacity-adjusted demand,0.065732,Not the official occupancy rate
current_member_snapshot,magic_pass_current_destinations,Presence in cached official current map,boolean,boolean,official destination,retrieval snapshot,MAGIC_CURRENT_MAP,extracted source,embedded official JSON,current status evidence,0.000000,Not historical timing evidence
candidate_resort_id,magic_pass_membership_history,Candidate link from official destination to supplied resort listing,identifier,string,cross-source entity link,event,DERIVED_MULTI_SOURCE,derived,reviewed alias or unique normalised label,entity resolution,0.311828,Destination scope remains pending
entry_season,magic_pass_membership_history,Officially announced first membership season,season,string,official destination,season,MAGIC_OFFICIAL_EVIDENCE_SET,manual evidence extraction,source season label,treatment timing candidate,0.010753,Exact date remains UNKNOWN
event_type,magic_pass_membership_history,Type of documented Magic Pass membership-related event,category,string,official destination,event/season,MAGIC_OFFICIAL_EVIDENCE_SET,manual evidence extraction,reviewed official announcement,treatment evidence,0.000000,Base entry is separated from supplements and exits
treatment_ready,magic_pass_membership_history,Whether event passes all current causal-use gates,boolean,boolean,cross-source entity link,event,DERIVED_MULTI_SOURCE,derived,scope AND continuity AND exposure approved,quality gate,0.000000,Currently false for all events
documented_active,magic_pass_membership_status_by_season,Whether explicit official evidence documents active base membership in the season,boolean,boolean,reviewed destination,annual pass season,MAGIC_OFFICIAL_EVIDENCE_SET,derived evidence flag,"true only for entry, full-roster, named-continuation, or last-active exit evidence",treatment history quality,0.000000,False can mean unverified and must not be read as documented non-membership
membership_status,magic_pass_membership_status_by_season,Evidence status for a reviewed destination in each annual Magic Pass season,category,string,reviewed destination,annual pass season,MAGIC_OFFICIAL_EVIDENCE_SET,manual evidence audit,"documented active, unverified active continuity, not yet entered, or documented inactive after exit",treatment history,0.000000,Missing annual evidence is never silently filled
continuity_fully_documented,membership_continuity_audit,Whether every active season from first entry through exit or 2025/2026 has explicit evidence,boolean,boolean,reviewed destination,2017/2018-2025/2026,MAGIC_OFFICIAL_EVIDENCE_SET,derived audit,no unverified_active_continuity season in the required active window,quality gate,0.000000,"Does not resolve confounding, spillovers, or controls"
air_temperature_anomaly_c,meteoswiss_station_month,Monthly mean-temperature departure from the station's calendar-month 2013-2025 analytical normal,degrees Celsius,float,SwissMetNet station,monthly,METEOSWISS_SMN_DAILY_SELECTED,derived,air_temperature_mean_c - mean usable same-calendar-month temperature in 2013-2025,time-varying regional weather proxy,0.001797,Not an official MeteoSwiss climate normal
air_temperature_mean_c,meteoswiss_station_month,Mean of official daily mean 2 m air temperature within the month,degrees Celsius,float,SwissMetNet station,monthly,METEOSWISS_SMN_DAILY_SELECTED,derived,mean daily tre200d0,time-varying regional weather proxy,0.000000,No imputation; station is not a piste observation
month_weather_proxy_usable,meteoswiss_station_month,Whether mean/min/max temperature and precipitation each meet the monthly coverage gate,boolean,boolean,SwissMetNet station,monthly,METEOSWISS_SMN_DAILY_SELECTED,derived,all four observation coverage shares >= 0.80,weather data quality,0.000000,"Two of 1,113 station-months fail at this checkpoint"
precipitation_anomaly_mm,meteoswiss_station_month,Monthly precipitation departure from the station's calendar-month 2013-2025 analytical normal,millimetres,float,SwissMetNet station,monthly,METEOSWISS_SMN_DAILY_SELECTED,derived,precipitation_total_mm - mean usable same-calendar-month precipitation in 2013-2025,time-varying regional weather proxy,0.001797,Missing when the month fails the 80% coverage gate
precipitation_coverage_share,meteoswiss_station_month,Share of calendar days with a valid precipitation observation,share,float,SwissMetNet station,monthly,METEOSWISS_SMN_DAILY_SELECTED,derived,valid rre150d0 days / calendar days,weather data quality,0.000000,Month is usable at >=0.80 together with all temperature fields
precipitation_total_mm,meteoswiss_station_month,Sum of valid official daily precipitation totals within the month,millimetres,float,SwissMetNet station,monthly,METEOSWISS_SMN_DAILY_SELECTED,derived,sum daily rre150d0 with at least one valid value,time-varying regional weather proxy,0.000000,Daily observation window is 06:00 UTC to 06:00 UTC next day
component_count_change,municipality_treatment_events,Change in the number of local destination components covered by base membership,count,integer,reviewed destination,event month,DERIVED_MULTI_SOURCE,derived,+1 per documented component entry; reviewed exit removes active components,treatment intensity candidate,0.000000,Not an independent treated-unit count
effective_month,municipality_treatment_events,Monthly analytical date assigned to a documented entry or exit event,date,date,reviewed destination,event month,MAGIC_OFFICIAL_EVIDENCE_SET,derived,exact validity date/month where documented; otherwise explicit May analytical anchor,treatment timing candidate,0.000000,Precision is stored separately and causal-ready remains false
Afrique du Sud Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Afrique du Sud Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Allemagne Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Allemagne Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Année,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,numeric,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Arabie saoudite Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Arabie saoudite Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Argentine Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Argentine Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Australie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Australie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Autres Afrique Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Autres Afrique Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Autres Afrique du Nord Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Autres Afrique du Nord Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
"Autres Amérique centrale, Caraïbes Arrivées",nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
"Autres Amérique centrale, Caraïbes Nuitées",nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Autres Amérique du Sud Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Autres Amérique du Sud Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Autres Asie de l'Est Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Autres Asie de l'Est Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Autres Asie de l'Ouest Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Autres Asie de l'Ouest Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Autres Europe Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Autres Europe Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Autriche Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Autriche Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Bahreïn Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Bahreïn Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Belgique Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Belgique Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Brésil Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Brésil Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Bulgarie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Bulgarie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Bélarus Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Bélarus Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Canada Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Canada Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Chili Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Chili Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Chine Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Chine Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Chypre Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Chypre Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Commune,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Corée (Sud) Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Corée (Sud) Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Croatie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Croatie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Danemark Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Danemark Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Espagne Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Espagne Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Estonie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Estonie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Finlande Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Finlande Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
France Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
France Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Grèce Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Grèce Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Hong Kong Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Hong Kong Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Hongrie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Hongrie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Inde Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Inde Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Indonésie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Indonésie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
