resort_id,resort_name_original,resort_name_canonical,url_station,match_method,manual_review,decision
balmberg,Balmberg Balmberg,Balmberg,https://www.bergfex.ch/balmberg/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
avers,Avers Avers,Avers,https://www.bergfex.ch/avers/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
bergun_filisur_bergun_filisur_darlux,Bergün-Filisur Bergün - Filisur / Darlux,Bergün - Filisur Bergün - Filisur / Darlux,https://www.bergfex.ch/berguen-filisur/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
bivio,Bivio Bivio,Bivio,https://www.bergfex.ch/bivio/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
brambruesch_chur_brambruesch,Brambrüesch Chur - Brambrüesch,Brambrüesch Chur - Brambrüesch,https://www.bergfex.ch/chur-brambrueesch/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
brigels_waltensburg_andiast,Brigels Brigels Waltensburg Andiast,Brigels Waltensburg Andiast,https://www.bergfex.ch/brigels/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
bugls_s_chanf,Bügls Bügls - S-chanf,Bügls - S - chanf,https://www.bergfex.ch/buegls-s-chanf/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
corvatsch_furtschellas,Corvatsch Corvatsch - Furtschellas,Corvatsch - Furtschellas,https://www.bergfex.ch/corvatsch-furtschellas/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
corviglia_st_moritz,Corviglia Corviglia / St. Moritz,Corviglia St. Moritz,https://www.bergfex.ch/st-moritz-corviglia/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
diavolezza_lagalb,Diavolezza Diavolezza - Lagalb,Diavolezza - Lagalb,https://www.bergfex.ch/diavolezza/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
disentis,Disentis Disentis,Disentis,https://www.bergfex.ch/disentis/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
feldis,Feldis Feldis,Feldis,https://www.bergfex.ch/feldis/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
grusch_danusa,Grüsch Danusa Grüsch Danusa,Grüsch Danusa,https://www.bergfex.ch/gruesch-danusa/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
heuberge_fideriser_heuberge,Heuberge Fideriser Heuberge,Heuberge Fideriser Heuberge,https://www.bergfex.ch/fideriser-heuberge/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
hochwang,Hochwang Hochwang,Hochwang,https://www.bergfex.ch/hochwang/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
jakobshorn_davos_jakobshorn,Jakobshorn Davos Jakobshorn,Jakobshorn Davos Jakobshorn,https://www.bergfex.ch/davos-jakobshorn/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
junker_st_antonien,Junker Junker - St. Antönien,Junker - St. Antönien,https://www.bergfex.ch/junker-st-antoenien/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
laax_flims_laax_falera,Laax Flims Laax Falera,Laax Flims Laax Falera,https://www.bergfex.ch/laax/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
languard_pontresina,Languard Languard / Pontresina,Languard Pontresina,https://www.bergfex.ch/languard-pontresina/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
madrisa_klosters_madrisa,Madrisa Klosters Madrisa,Madrisa Klosters Madrisa,https://www.bergfex.ch/klosters-madrisa/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
mastrils_skilift_mastrils,Mastrils Skilift Mastrils,Mastrils Skilift Mastrils,https://www.bergfex.ch/skilift-mastrils/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
minschuns_val_mustair,Minschuns Minschuns - Val Müstair,Minschuns - Val Müstair,https://www.bergfex.ch/minschuns/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
motta_naluns_scuol_motta_naluns,Motta Naluns Scuol Motta Naluns,Motta Naluns Scuol Motta Naluns,https://www.bergfex.ch/scuol/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
muottas_muragl,Muottas Muragl Muottas Muragl,Muottas Muragl,https://www.bergfex.ch/muottas-muragl/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
musella_la_punt_musella,Müsella La Punt - Müsella,Müsella La Punt - Müsella,https://www.bergfex.ch/la-punt-muesella/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
obermutten_mutten_obermutten,Obermutten Mutten - Obermutten,Obermutten Mutten - Obermutten,https://www.bergfex.ch/mutten/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
obersaxen_mundaun,Obersaxen Obersaxen Mundaun,Obersaxen Mundaun,https://www.bergfex.ch/pizmundaun/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
pany,Pany Pany,Pany,https://www.bergfex.ch/pany/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
parsenn_davos_klosters_parsenn,Parsenn Davos Klosters Parsenn,Parsenn Davos Klosters Parsenn,https://www.bergfex.ch/davos-parsenn/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
pian_cales_san_bernardino,Pian Cales San Bernardino,Pian Cales San Bernardino,https://www.bergfex.ch/sanbernardino/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
pischa_davos_pischa,Pischa Davos Pischa,Pischa Davos Pischa,https://www.bergfex.ch/davos-pischa/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
pradaschier_churwalden,Pradaschier Pradaschier - Churwalden,Pradaschier - Churwalden,https://www.bergfex.ch/pradaschier/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
rinerhorn_davos_rinerhorn,Rinerhorn Davos Rinerhorn,Rinerhorn Davos Rinerhorn,https://www.bergfex.ch/rinerhorn/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
rossa,Rossa Rossa,Rossa,https://www.bergfex.ch/rossa/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
samnaun_silvretta_arena_samnaun_ischgl,Samnaun Silvretta Arena Samnaun / Ischgl,Samnaun Silvretta Arena Samnaun / Ischgl,https://www.bergfex.ch/samnaun/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
sarn_heinzenberg,Sarn Sarn - Heinzenberg,Sarn - Heinzenberg,https://www.bergfex.ch/sarn-heizenberg/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
savognin,Savognin Savognin,Savognin,https://www.bergfex.ch/savognin/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
schatzalp_davos_schatzalp_strela,Schatzalp Davos Schatzalp - Strela,Schatzalp Davos Schatzalp - Strela,https://www.bergfex.ch/schatzalp/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
splugen_rheinwald,Splügen Splügen / Rheinwald,Splügen Rheinwald,https://www.bergfex.ch/spluegen-rheinwald/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
survih_samedan,Survih Survih - Samedan,Survih - Samedan,https://www.bergfex.ch/survih-samedan/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
tenna,Tenna Tenna,Tenna,https://www.bergfex.ch/tenna/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
tschappina_tschappina_urmein_heinzenberg,Tschappina Tschappina-Urmein-Heinzenberg,Tschappina Tschappina - Urmein - Heinzenberg,https://www.bergfex.ch/tschappina-urmein-heinzenberg/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
tschiertschen,Tschiertschen Tschiertschen,Tschiertschen,https://www.bergfex.ch/tschiertschen/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
vals,Vals Vals,Vals,https://www.bergfex.ch/vals/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
valtgeva_druni_kidsarena_sedrun,Valtgeva Valtgeva / Druni KidsArena Sedrun,Valtgeva Druni KidsArena Sedrun,https://www.bergfex.ch/valtgeva-druni-kids-arena-sedrun/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
zuoz,Zuoz Zuoz,Zuoz,https://www.bergfex.ch/zuoz/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
brot_plamboz,Brot-Plamboz Brot-Plamboz,Brot - Plamboz,https://www.bergfex.ch/brot-plamboz/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
chapeau_rable_la_chaux_de_fonds,Chapeau Rablé Chapeau Rablé / La Chaux-de-Fonds,Chapeau Rablé La Chaux - de - Fonds,https://www.bergfex.ch/la-chaux-de-fonds/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
cret_meuron,Crêt-Meuron Crêt-Meuron,Crêt - Meuron,https://www.bergfex.ch/cret-meuron/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
cote_aux_fees_la_cote_aux_fees,Côte-aux-Fées La Côte-aux-Fées,Côte - aux - Fées La Côte - aux - Fées,https://www.bergfex.ch/la-cote-aux-fees/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
la_brevine,La Brévine La Brévine,La Brévine,https://www.bergfex.ch/la-brevine/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
la_corbatiere_la_roche_des_crocs,La Corbatière La Corbatière - La Roche-des-Crocs,La Corbatière - La Roche - des - Crocs,https://www.bergfex.ch/la-corbatiere/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
la_robella,La Robella La Robella,La Robella,https://www.bergfex.ch/la-robella/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
le_chaluet,Le Chaluet Le Chaluet,Le Chaluet,https://www.bergfex.ch/le-chaluet/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
le_paquier_cret_du_puy,Le Pâquier Le Pâquier / Crêt-du-Puy,Le Pâquier Crêt - du - Puy,https://www.bergfex.ch/le-paquier/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
les_breuleux,Les Breuleux Les Breuleux,Les Breuleux,https://www.bergfex.ch/les-breuleux/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
les_bugnenets_savagnieres,Les Bugnenets Les Bugnenets - Savagnières,Les Bugnenets - Savagnières,https://www.bergfex.ch/bugnenets-savagnieres/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
les_genevez,Les Genevez Les Genevez,Les Genevez,https://www.bergfex.ch/les-genevez/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
les_loges,Les Loges Les Loges,Les Loges,https://www.bergfex.ch/les-loges/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
les_verrieres,Les Verrières Les Verrières,Les Verrières,https://www.bergfex.ch/les-verrieres/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
nods_chasseral,Nods-Chasseral Nods-Chasseral,Nods - Chasseral,https://www.bergfex.ch/nods-chasseral/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
pres_d_orvin_les_pres_d_orvin,Prés-d'Orvin Les Prés-d'Orvin,Prés - d'Orvin Les Prés - d'Orvin,https://www.bergfex.ch/les-pres-d-orvin/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
saint_imier_mont_soleil,Saint-Imier Saint-Imier - Mont Soleil,Saint - Imier - Mont Soleil,https://www.bergfex.ch/saint-imier-mont-soleil/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
sommartel_le_locle,Sommartel Sommartel / Le Locle,Sommartel Le Locle,https://www.bergfex.ch/sommartel-le-locle/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
sous_le_mont,Sous le Mont Sous le Mont,Sous le Mont,https://www.bergfex.ch/sous-le-mont/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
tramelan,Tramelan Tramelan,Tramelan,https://www.bergfex.ch/tramelan/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
attinghausen_brusti_attinghausen,Attinghausen Brüsti-Attinghausen,Attinghausen Brüsti - Attinghausen,https://www.bergfex.ch/bruesti-attinghausen/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
bennau_einsiedeln,Bennau Bennau / Einsiedeln,Bennau Einsiedeln,https://www.bergfex.ch/bennau-einsiedeln/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
biel_kinzig,Biel-Kinzig Biel-Kinzig,Biel - Kinzig,https://www.bergfex.ch/biel-kinzig/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
brunni_haggenegg,Brunni Brunni - Haggenegg,Brunni - Haggenegg,https://www.bergfex.ch/brunni/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
brunni_brunni_bahnen_engelberg,Brunni Brunni-Bahnen Engelberg,Brunni Brunni - Bahnen Engelberg,https://www.bergfex.ch/brunni-engelberg/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
brunni_skilift_brunni,Brunni Skilift Brunni,Brunni Skilift Brunni,https://www.bergfex.ch/brunni-alpthal/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
dallenwil_wirzweli,Dallenwil Dallenwil - Wirzweli,Dallenwil - Wirzweli,https://www.bergfex.ch/dallenwil/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
engelberg_titlis,Engelberg Engelberg Titlis,Engelberg Titlis,https://www.bergfex.ch/engelberg/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
fluelen_eggberge_fluelen,Flüelen Eggberge / Flüelen,Flüelen Eggberge / Flüelen,https://www.bergfex.ch/eggberge/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
friherrenberg_einsiedeln,Friherrenberg Friherrenberg / Einsiedeln,Friherrenberg Einsiedeln,https://www.bergfex.ch/friherrenberg-einsiedeln/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
gemsstock_andermatt_gemsstock,Gemsstock Andermatt - Gemsstock,Gemsstock Andermatt - Gemsstock,https://www.bergfex.ch/andermatt-gemsstock/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
gfellen_entlebuch_finsterwald,Gfellen Gfellen / Entlebuch-Finsterwald,Gfellen Entlebuch - Finsterwald,https://www.bergfex.ch/gfellen-entlebuch-finsterwald/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
gitschenen_skilift_gitschenen,Gitschenen Skilift Gitschenen,Gitschenen Skilift Gitschenen,https://www.bergfex.ch/gitschenen/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
hoch_ybrig,Hoch-Ybrig Hoch-Ybrig,Hoch - Ybrig,https://www.bergfex.ch/ybrig/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
hochstuckli_sattel_hochstuckli,Hochstuckli Sattel Hochstuckli,Hochstuckli Sattel Hochstuckli,https://www.bergfex.ch/sattel-hochstuckli/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
ibergeregg_skilifte_ibergeregg,Ibergeregg Skilifte Ibergeregg,Ibergeregg Skilifte Ibergeregg,https://www.bergfex.ch/ibergeregg/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
kellerberg_skilift_kellerberg_haldi,Kellerberg Skilift Kellerberg / Haldi,Kellerberg Skilift Kellerberg / Haldi,https://www.bergfex.ch/kellerberg-haldi/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
klewenalp_stockhutte,Klewenalp Klewenalp - Stockhütte,Klewenalp - Stockhütte,https://www.bergfex.ch/klewenalp/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
langis_glaubenberg,Langis Langis Glaubenberg,Langis Glaubenberg,https://www.bergfex.ch/langis-glaubenberg/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
lungern_turren_lungern_schonbuel,Lungern-Turren Lungern - Schönbüel,Lungern - Turren Lungern - Schönbüel,https://www.bergfex.ch/lungern/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
marchbachegg_marbach_marbachegg,Marchbachegg Marbach - Marbachegg,Marchbachegg Marbach - Marbachegg,https://www.bergfex.ch/marbachegg/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
melchsee_frutt,Melchsee Melchsee - Frutt,Melchsee - Frutt,https://www.bergfex.ch/melchsee-frutt/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
mythenregion,Mythenregion Mythenregion,Mythenregion,https://www.bergfex.ch/mythenregion/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
morlialp,Mörlialp Mörlialp,Mörlialp,https://www.bergfex.ch/moerlialp/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
neusell,Neusell Neusell,Neusell,https://www.bergfex.ch/neusell/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
nollen_unterageri,Nollen Nollen - Unterägeri,Nollen - Unterägeri,https://www.bergfex.ch/nollen-unteraegeri/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
oberiberg,Oberiberg Oberiberg,Oberiberg,https://www.bergfex.ch/oberiberg/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
ratzi_spiringen,Ratzi Ratzi / Spiringen,Ratzi Spiringen,https://www.bergfex.ch/ratzi/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
realp,Realp Realp,Realp,https://www.bergfex.ch/realp/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
rigi,Rigi Rigi,Rigi,https://www.bergfex.ch/rigi/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
sattelegg_einsiedeln,Sattelegg Sattelegg / Einsiedeln,Sattelegg Einsiedeln,https://www.bergfex.ch/sattelegg/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
schnabelsberg_einsiedeln,Schnabelsberg Schnabelsberg / Einsiedeln,Schnabelsberg Einsiedeln,https://www.bergfex.ch/schnabelsberg-einsiedeln/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
schratten_fluhli,Schratten Flühli Schratten Flühli,Schratten Flühli,https://www.bergfex.ch/schratten-fluehli/,existing ski_id retained; exact unique URL joins; no fuzzy merges,pending_domain_and_country_verification,retain_provisional_listing
