municipality_bfs_id,municipality_name,resort_listing_count,known_magic_resort_listing_count,known_magic_exposure_from_resolved_links,candidate_control_upper_bound,unresolved_membership_contamination_cleared,spillover_contamination_cleared,time_varying_confounders_available,causal_control_approved,control_blocker
1402,Engelberg,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
1407,Sarnen,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
1501,Beckenried,1,1,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
1630,Glarus Nord,2,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
1631,Glarus Süd,2,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
1709,Unterägeri,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
2125,Bulle,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
2135,Gruyères,1,1,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
2299,Plaffeien,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3022,Gais,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3032,Heiden,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3102,Gonten,2,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3271,Buchs (SG),1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3291,Bad Ragaz,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3295,Quarten,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3311,Amden,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3342,Eschenbach (SG),2,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3359,Wildhaus-Alt St. Johann,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3396,Neckertal,3,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3543,Surses,2,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3575,Laax,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3603,Vals,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3714,Rheinwald,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3752,Samnaun,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3762,Scuol,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3782,Celerina/Schlarigna,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3784,Pontresina,2,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3786,Samedan,2,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3792,Bregaglia,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3847,Val Müstair,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3851,Davos,5,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3871,Klosters,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3901,Chur,2,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3921,Arosa,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3981,Breil/Brigels,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
3986,Tujetsch,2,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
5407,Leysin,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
5409,Ollon,1,1,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
5411,Ormont-Dessus,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
5552,Bullet,1,1,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
5872,Le Chenit,1,1,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
5886,Montreux,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
5892,Blonay - Saint-Légier,1,1,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
6024,Nendaz,2,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
6034,Orsières,2,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
6037,Val de Bagnes,2,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
6077,Goms,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
6083,Evolène,3,3,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
6252,Anniviers,2,2,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
6253,Crans-Montana,1,1,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
6290,Saas-Fee,1,1,True,False,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
6291,Saas-Grund,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
6300,Zermatt,1,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
6421,La Chaux-de-Fonds,2,0,False,True,False,False,False,False,"Unresolved official destination labels, historical membership, spillovers, and time-varying confounders are not fully audited."
